number,date,platform,company_or_contact,vacancy_or_request,focus,message,link,status,screenshot_file,notes
1,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
2,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
3,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
4,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
5,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
6,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
7,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
8,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
9,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
10,,,,,A: AI triage + drafts,"Здравствуйте! Могу внедрить AI-сервис для первичной обработки обращений: классификация + черновик ответа + эскалация сложных случаев. Сделаю программный интерфейс, хранение истории и базовые ограничения по безопасности / лимитам. Уточните, какие каналы обращений и какие категории вам нужны?",,planned,,
